5.2,0.42,-6.6,12.4
4.2,0.39,-8.5,11.8
2.7,0.45,-8,12.1
2.3,0.5,-7,12.5
1.2,0.48,-8.6,12.4
0.1,0.61,-6.5,12.1
-0.8,0.69,-5.7,11.4
-1.5,0.73,-5.7,11.1
-1.8,0.72,-6.1,10.7
-1.1,0.72,-5.5,9.5
-1.1,0.74,-5.1,8
-1.6,0.88,-3.3,8
-1.4,0.93,-2.3,6.8
-1.3,0.93,-2.2,6.2
-1.3,0.94,-2.1,5.8
-1.1,0.95,-1.8,6.2
-1.4,0.9,-2.8,8.6
-1.8,0.89,-3.3,10.3
-1.9,0.86,-3.9,11.3
-1.5,0.78,-4.8,12.4
-1.3,0.71,-5.8,12.6
-1.9,0.68,-7,13.1
-1.6,0.64,-7.5,13.7
-1,0.61,-7.5,14.9
-1.4,0.59,-8.3,15.9
-2.2,0.64,-8.1,16.8
-2.4,0.68,-7.5,17.8
-2.6,0.68,-7.7,18.5
-3,0.68,-8,19.2
-3.9,0.72,-8.2,19.9
-4.9,0.76,-8.4,20.2
-5,0.77,-8.4,20.8
-5,0.76,-8.5,21.1
-5.9,0.8,-8.7,21.3
-5.6,0.79,-8.6,21.2
-6.5,0.85,-8.6,20.9
-7.1,0.86,-9,21.4
-7.5,0.87,-9.2,21.2
-7.7,0.88,-9.3,21.4
-8.4,0.88,-10,22
-8.3,0.89,-9.7,22
-6.9,0.86,-8.8,22
-5.4,0.81,-8.1,22
-2.1,0.68,-7.2,21.6
-1.2,0.64,-7.1,20.9
-0.4,0.64,-6.3,19.2
1.5,0.6,-5.4,17.6
2.2,0.6,-4.7,16.6
0.9,0.69,-4.1,16.6
0.3,0.79,-2.9,16.2
-0.3,0.88,-2,16.1
-0.5,0.88,-2.2,16.3
-0.6,0.84,-2.9,16
-0.6,0.87,-2.5,15.6
-1,0.94,-1.8,15.1
-0.7,0.94,-1.5,14.9
-0.6,0.92,-1.7,15.1
-0.7,0.83,-3.2,15
-0.8,0.81,-3.6,15.1
-1.5,0.88,-3.2,15.7
-2.9,0.86,-4.9,16.5
-4.2,0.8,-7.1,17.6
-5.2,0.81,-7.9,18
-6.2,0.83,-8.6,18.6
-6.8,0.8,-9.6,18.9
-6,0.79,-9,19.3
-5,0.75,-8.7,19.7
-4.1,0.7,-8.7,20
-2.9,0.65,-8.5,19.5
-2.9,0.56,-10.4,19.2
-3.1,0.61,-9.5,18.8
-3.3,0.54,-11.3,18.7
-2.6,0.5,-11.6,19
